investor,host,year,position_mio_eur,income_mio_eur
BG,AT,2019,263.9,-1.3
BG,AT,2020,271.7,-0.3
BG,AT,2021,288.9,-5.5
BG,AT,2022,376.9,-2.2
BG,AT,2023,463.3,-1.1
BG,AT,2024,275.5,-1.2
BG,BE,2013,48.7,0.1
BG,BE,2014,75.7,1.7
BG,BE,2015,62.4,1.6
BG,BE,2016,57.3,1.7
BG,BE,2017,75.7,2.7
BG,BE,2018,92.7,3.6
BG,BE,2019,108.7,3.2
BG,BE,2020,130.5,2.9
BG,BE,2021,224.7,3.9
BG,BE,2022,228.4,3.4
BG,BE,2023,271.5,5.2
BG,BE,2024,192.8,2.4
BG,CH,2013,156.3,3.2
BG,CH,2014,91.5,0.0
BG,CH,2015,121.6,-0.1
BG,CH,2016,173.2,0.1
BG,CH,2017,229.0,0.2
BG,CH,2018,189.2,0.0
BG,CH,2019,153.5,-0.3
BG,CH,2020,154.6,0.1
BG,CH,2021,358.6,0.6
BG,CH,2022,332.3,-0.3
BG,CH,2023,297.5,-0.3
BG,CH,2024,580.0,0.2
BG,CY,2013,51.6,0.1
BG,CY,2014,35.1,-1.3
BG,CY,2015,35.2,-0.3
BG,CY,2016,29.3,0.3
BG,CY,2017,50.8,0.5
BG,CY,2018,53.6,0.7
BG,CY,2019,80.0,0.6
BG,CY,2020,80.8,-1.9
BG,CY,2021,95.3,0.9
BG,CY,2022,103.9,6.5
BG,CY,2023,62.6,10.6
BG,CY,2024,64.3,18.0
BG,CZ,2013,5.9,0.1
BG,CZ,2014,26.5,-0.1
BG,CZ,2015,18.6,-0.1
BG,CZ,2016,18.8,-0.1
BG,CZ,2017,41.7,0.1
BG,CZ,2018,68.4,0.1
BG,CZ,2019,58.4,0.0
BG,CZ,2020,51.5,-0.2
BG,CZ,2021,51.4,2.2
BG,CZ,2022,60.7,-0.9
BG,CZ,2023,64.4,1.0
BG,CZ,2024,49.2,-2.8
BG,DE,2013,378.1,0.3
BG,DE,2014,490.6,0.0
BG,DE,2015,427.2,0.6
BG,DE,2016,527.8,0.6
BG,DE,2017,320.2,2.5
BG,DE,2018,342.5,1.3
BG,DE,2019,550.7,0.3
BG,DE,2020,536.8,2.4
BG,DE,2021,397.1,2.3
BG,DE,2022,435.2,2.7
BG,DE,2023,435.2,2.6
BG,DE,2024,552.1,2.7
BG,DK,2013,17.4,0.2
BG,DK,2014,20.5,0.1
BG,DK,2015,19.8,0.0
BG,DK,2016,18.0,-0.4
BG,DK,2017,19.6,0.0
BG,DK,2018,25.7,0.0
BG,DK,2019,20.8,0.0
BG,DK,2020,21.4,-0.3
BG,DK,2021,30.6,0.2
BG,DK,2022,16.7,0.1
BG,DK,2023,21.3,0.2
BG,DK,2024,28.3,0.1
BG,EE,2013,0.9,0.0
BG,EE,2014,1.1,0.2
BG,EE,2015,3.3,0.0
BG,EE,2016,5.7,0.0
BG,EE,2017,2.6,0.0
BG,EE,2018,2.2,0.0
BG,EE,2019,2.2,0.0
BG,EE,2020,2.5,-0.2
BG,EE,2021,3.0,1.1
BG,EE,2022,0.7,0.3
BG,EE,2023,4.0,3.9
BG,EE,2024,5.9,0.0
BG,ES,2013,23.6,0.0
BG,ES,2014,24.5,0.0
BG,ES,2015,36.3,0.0
BG,ES,2016,41.3,0.1
BG,ES,2017,52.0,0.0
BG,ES,2018,50.0,-0.9
BG,ES,2019,45.9,0.1
BG,ES,2020,41.9,-1.5
BG,ES,2021,43.1,4.8
BG,ES,2022,50.9,1.4
BG,ES,2023,58.0,-0.4
BG,ES,2024,70.4,0.8
BG,FI,2013,2.2,0.0
BG,FI,2014,2.0,0.0
BG,FI,2015,1.3,0.0
BG,FI,2016,1.3,0.0
BG,FI,2017,1.2,0.0
BG,FI,2018,4.1,0.0
BG,FI,2019,1.6,0.0
BG,FI,2020,1.1,0.0
BG,FI,2021,1.7,0.0
BG,FI,2022,2.0,0.0
BG,FI,2023,0.8,0.0
BG,FI,2024,1.1,0.0
BG,FR,2013,29.7,1.2
BG,FR,2014,32.7,-0.3
BG,FR,2015,52.4,-0.2
BG,FR,2016,35.6,0.2
BG,FR,2017,41.0,0.6
BG,FR,2018,41.5,0.7
BG,FR,2019,42.7,0.4
BG,FR,2020,53.9,3.8
BG,FR,2021,54.5,2.2
BG,FR,2022,60.8,0.6
BG,FR,2023,75.3,1.7
BG,FR,2024,92.3,2.4
BG,GR,2013,79.1,-0.1
BG,GR,2014,83.6,-0.7
BG,GR,2015,79.8,-1.1
BG,GR,2016,60.7,31.9
BG,GR,2017,46.4,0.5
BG,GR,2018,49.3,0.2
BG,GR,2019,46.5,1.0
BG,GR,2020,39.4,6.4
BG,GR,2021,45.7,8.5
BG,GR,2022,52.8,6.9
BG,GR,2023,53.7,4.2
BG,GR,2024,87.2,4.3
BG,HR,2013,11.2,0.1
BG,HR,2014,9.6,0.4
BG,HR,2015,10.1,-1.2
BG,HR,2016,9.7,-1.4
BG,HR,2017,4.9,1.2
BG,HR,2018,4.6,0.3
BG,HR,2019,4.5,-0.4
BG,HR,2020,9.3,0.6
BG,HR,2021,8.5,0.1
BG,HR,2022,10.3,0.4
BG,HR,2023,13.7,1.5
BG,HR,2024,6.8,4.0
BG,HU,2013,8.7,0.0
BG,HU,2014,11.3,0.0
BG,HU,2015,10.7,-0.1
BG,HU,2016,10.6,0.0
BG,HU,2017,11.6,0.1
BG,HU,2018,15.9,0.7
BG,HU,2019,102.6,0.8
BG,HU,2020,99.6,3.8
BG,HU,2021,103.5,1.6
BG,HU,2022,101.4,4.6
BG,HU,2023,105.3,1.1
BG,HU,2024,109.1,1.3
BG,IE,2013,2.2,0.0
BG,IE,2014,20.1,0.0
BG,IE,2015,29.8,0.0
BG,IE,2016,15.7,3.5
BG,IE,2017,8.2,0.1
BG,IE,2018,76.2,0.0
BG,IE,2019,65.3,0.0
BG,IE,2020,109.7,0.0
BG,IE,2021,78.9,-0.3
BG,IE,2022,145.4,0.1
BG,IE,2023,145.7,0.0
BG,IE,2024,69.6,-0.4
BG,IS,2013,0.0,0.0
BG,IS,2014,0.3,0.0
BG,IS,2015,0.3,0.0
BG,IS,2016,0.3,0.0
BG,IS,2017,0.0,0.0
BG,IS,2018,0.0,0.0
BG,IS,2019,0.0,0.0
BG,IS,2020,3.2,0.0
BG,IS,2021,5.0,0.0
BG,IS,2022,1.8,0.0
BG,IS,2023,0.4,0.0
BG,IS,2024,0.3,0.0
BG,IT,2013,62.2,-0.7
BG,IT,2014,60.0,-1.2
BG,IT,2015,70.5,10.2
BG,IT,2016,90.0,-2.1
BG,IT,2017,80.5,0.1
BG,IT,2018,90.1,-1.1
BG,IT,2019,97.4,-11.7
BG,IT,2020,184.9,-15.1
BG,IT,2021,250.7,8.8
BG,IT,2022,257.7,11.0
BG,IT,2023,288.5,1.5
BG,IT,2024,333.5,-18.5
BG,LI,2013,3.3,0.0
BG,LI,2014,12.3,0.0
BG,LI,2015,3.2,-0.1
BG,LI,2016,4.7,0.3
BG,LI,2017,4.7,0.0
BG,LI,2018,5.0,0.0
BG,LI,2019,4.7,-4.4
BG,LI,2020,4.8,15.5
BG,LI,2021,5.2,0.0
BG,LI,2022,5.6,11.3
BG,LI,2023,12.8,12.0
BG,LI,2024,12.7,-21.0
BG,LT,2013,0.1,0.0
BG,LT,2014,0.4,0.0
BG,LT,2015,1.0,0.0
BG,LT,2016,0.5,0.0
BG,LT,2017,0.5,0.0
BG,LT,2018,0.3,0.0
BG,LT,2019,1.3,0.1
BG,LT,2020,2.3,0.1
BG,LT,2021,4.1,0.3
BG,LT,2022,3.7,0.2
BG,LT,2023,3.9,-0.1
BG,LT,2024,4.1,2.4
